address,chain,role
0x0d626a42f730e1494fbb1d0f829d31bdb74757c8,bnb,active
0x19e4c97df0e20ce8e1232da4244b7a245a0c1bc3,bnb,active
0x1cfd026a41169ff865c8ac931b88fbd244ce8d97,bnb,active
0x22b0f92af10fdc25659e4c3a590c2f0d0c809c27,bnb,active
0x299457115f456da246fae7c5afee0a4f85fecfcc,bnb,active
0x3145f609016ad552adc93ec683b376fef35b9621,bnb,active
0x32b5bb1786b1a812a632f325a4d8b1fefe5d2876,bnb,active
0x3d9f3f041dc549595f30cc7c84001060d90ca8d9,bnb,active
0x3f804260f6ce0aa2472dc7cd69540f555afc24a5,bnb,active
0x4e5acf9684652bea56f2f01b7101a225ee33d23f,bnb,active
0x515b72ed8a97f42c568d6a143232775018f133c8,bnb,active
0x5789bcec98243e025d83039f3203b8a7e788e226,bnb,active
0x592c713b0060451ef05a2331bdbe4b71514881bd,bnb,active
0x599842b2bec22f38318aae396da1841d19743dda,bnb,active
0x5d5275ca4829ce03a9df9703ed82c97920605623,bnb,active
0x7170258760970e35d8befc41783f2d886dcac5c1,bnb,active
0x8bc4f2c57092468628ee3c80748782fc1b7047c0,bnb,active
0x916920ae97bb3d1b226c47f611548cc29ec03b80,bnb,active
0x97c15efc738cee83ffea8c1d76fd620e96944ddb,bnb,active
0x9a71924ac496dfc7552e0c16d97628a8cc9f5659,bnb,active
0xa180fe01b906a1be37be6c534a3300785b20d947,bnb,active
0xa3f46c204582008422f0be5a7a2ca3cc51aed26d,bnb,active
0xa48cd22dcfb05b828fa40e37b35cfd19ec0417f2,bnb,active
0xa6ffe1b888a197c260a656ce90b378f25e5b7aaf,bnb,active
0xaa30a93750786110d8ad828fb30c111aff4e8ecf,bnb,active
0xacc2cb790892600d1ef171ff1b87325e36fe1851,bnb,active
0xaec1ba47051fd5b50aefc8670f82e6b99ceed4fc,bnb,active
0xb20df9a232538ab555207faa98ec2c0923275af3,bnb,active
0xb73239580741a4055e7bb1a6b23bd7afda0ada35,bnb,active
0xbbc43ba1fa8d1a287ed11052c52cdc9f21e791ae,bnb,active
0xbe6d93b805e665dd44d701ddd866453fb2174fd7,bnb,active
0xc0fc8def6b179b93244be0205416a5cbb94d1141,bnb,active
0xc281b3520cbdc2d8e73188e8549e89defe761e32,bnb,active
0xcf41302219bff2365f8180b49ef97cc0bfb8d934,bnb,active
0xdf341acd9fb2657a44ced59a8822ade7e46ae2f4,bnb,active
0xe2fc31f816a9b94326492132018c3aecc4a93ae1,bnb,active
0xe89c42bc188c993273ab34231e12ae60c73042e4,bnb,active
0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,bnb,active
0xedd13af59364d4d393211f0403958bb95ab17da6,bnb,active
0xef8783382ef80ec23b66c43575a6103deca909c3,bnb,active
0xf15d3ec3bd7beaa1d90f6a61f599f3ae5142cdfd,bnb,active
0xfe5bb7999fd86d6b505c2fdc6e006ab6fa1133bf,bnb,active
